full_name,url,stars,forks,open_issues,contributors,commits,releases,has_ci,readme_length,n_topics,has_license,language,age_days,days_since_push,commits_per_contributor,has_readme,age_years,activity
goauthentik/authentik,https://github.com/goauthentik/authentik,21706,1617,1138,457,22253,341,1,4059,17,1,Python,2342,0,48.7,1,6.4,active
mem0ai/mem0,https://github.com/mem0ai/mem0,57075,6504,391,310,2219,326,1,11464,14,1,Python,1074,0,7.2,1,2.9,active
saleor/saleor,https://github.com/saleor/saleor,22932,6035,249,259,22475,1499,1,9504,18,1,Python,4854,0,86.8,1,13.3,active
searxng/searxng,https://github.com/searxng/searxng,30841,2924,220,267,9437,0,1,2296,15,1,Python,1873,0,35.3,1,5.1,active
emmabostian/developer-portfolios,https://github.com/emmabostian/developer-portfolios,23054,4576,4,458,5961,0,1,114093,0,0,Python,2450,0,13.0,1,6.7,active
NVIDIA/TransformerEngine,https://github.com/NVIDIA/TransformerEngine,3362,733,368,170,1854,32,1,25757,9,1,Python,1347,0,10.9,1,3.7,active
alistaitsacle/free-llm-api-keys,https://github.com/alistaitsacle/free-llm-api-keys,1178,121,1,2,5396,0,0,120973,20,1,Python,67,0,2698.0,1,0.2,active
marin-community/marin,https://github.com/marin-community/marin,1019,119,569,82,8830,15,1,4885,0,1,Python,798,0,107.7,1,2.2,active
youtubediscord/zapret,https://github.com/youtubediscord/zapret,1122,83,178,5,1093,2630,1,3747,10,0,Python,456,0,218.6,1,1.2,active
karanhudia/borg-ui,https://github.com/karanhudia/borg-ui,1483,50,24,12,2106,157,1,8803,12,1,Python,291,0,175.5,1,0.8,active
wiltodelta/remove-ai-watermarks,https://github.com/wiltodelta/remove-ai-watermarks,2683,224,5,4,112,20,1,29482,18,1,Python,65,0,28.0,1,0.2,active
Q00/ouroboros,https://github.com/Q00/ouroboros,4337,428,26,47,1486,87,1,25610,3,1,Python,135,0,31.6,1,0.4,active
caronc/apprise-api,https://github.com/caronc/apprise-api,1217,94,10,23,242,35,1,56729,10,1,Python,2406,0,10.5,1,6.6,active
pikepdf/pikepdf,https://github.com/pikepdf/pikepdf,2728,223,43,58,3340,48,1,8937,8,1,Python,3178,0,57.6,1,8.7,active
NVIDIA/physicsnemo,https://github.com/NVIDIA/physicsnemo,2848,677,55,87,985,18,1,27262,6,1,Python,1218,0,11.3,1,3.3,active
zatosource/zato,https://github.com/zatosource/zato,1009,252,0,25,18363,0,1,1807,20,1,Python,5440,0,734.5,1,14.9,active
gadievron/raptor,https://github.com/gadievron/raptor,2784,438,18,23,2095,1,1,16695,0,1,Python,224,0,91.1,1,0.6,active
microsoft/agent-governance-toolkit,https://github.com/microsoft/agent-governance-toolkit,3317,486,28,97,1763,17,1,23817,12,1,Python,87,0,18.2,1,0.2,active
repowise-dev/repowise,https://github.com/repowise-dev/repowise,2083,277,25,22,269,27,1,43652,15,1,Python,67,0,12.2,1,0.2,active
Checkmk/checkmk,https://github.com/Checkmk/checkmk,2273,536,38,276,103214,0,1,5127,1,1,Python,2655,0,374.0,1,7.3,active
blade-build/blade-build,https://github.com/blade-build/blade-build,2098,491,138,35,1417,9,1,9660,10,1,Python,5028,0,40.5,1,13.8,active
RyanCodrai/turbovec,https://github.com/RyanCodrai/turbovec,3469,311,4,3,141,0,1,13513,15,1,Python,64,0,47.0,1,0.2,active
camelot-dev/camelot,https://github.com/camelot-dev/camelot,3727,539,56,70,1473,10,1,10954,0,1,Python,2524,0,21.0,1,6.9,active
FuzzyGrim/Yamtrack,https://github.com/FuzzyGrim/Yamtrack,2768,191,273,39,2668,80,1,7819,8,1,Python,1266,0,68.4,1,3.5,active
GradientHQ/parallax,https://github.com/GradientHQ/parallax,1301,138,31,26,437,4,1,8914,17,1,Python,249,0,16.8,1,0.7,active
pypa/cibuildwheel,https://github.com/pypa/cibuildwheel,2237,315,87,162,3618,99,1,29778,11,1,Python,3357,0,22.3,1,9.2,active
RimSort/RimSort,https://github.com/RimSort/RimSort,1096,122,148,50,2385,94,1,2176,4,1,Python,1207,0,47.7,1,3.3,active
microsoft/PyRIT,https://github.com/microsoft/PyRIT,3901,771,93,123,1318,20,1,1245,4,1,Python,899,0,10.7,1,2.5,active
Pyomo/pyomo,https://github.com/Pyomo/pyomo,2464,579,355,145,31127,24,1,5594,6,1,Python,3653,0,214.7,1,10.0,active
microsoft/debugpy,https://github.com/microsoft/debugpy,2415,196,219,77,2111,52,1,5496,0,1,Python,2325,0,27.4,1,6.4,active
ycdxsb/PocOrExp_in_Github,https://github.com/ycdxsb/PocOrExp_in_Github,1161,233,0,1,23520,0,0,7258,4,1,Python,1872,0,23520.0,1,5.1,active
mujocolab/mjlab,https://github.com/mujocolab/mjlab,2404,398,32,45,1030,7,1,5199,5,1,Python,353,0,22.9,1,1.0,active
jgravelle/jcodemunch-mcp,https://github.com/jgravelle/jcodemunch-mcp,1870,292,1,38,957,356,1,49330,6,1,Python,109,0,25.2,1,0.3,active
K-Dense-AI/karpathy,https://github.com/K-Dense-AI/karpathy,1447,165,3,3,27,0,0,5681,3,1,Python,193,0,9.0,1,0.5,active
mgonzs13/yolo_ros,https://github.com/mgonzs13/yolo_ros,1051,252,1,13,180,32,1,14569,19,1,Python,1193,0,13.8,1,3.3,active
TonyJiangWJ/mimotion,https://github.com/TonyJiangWJ/mimotion,1104,1936,3,2,2227,0,1,9963,0,1,Python,1094,0,1113.5,1,3.0,active
nix-community/NUR,https://github.com/nix-community/NUR,1857,498,48,442,43426,0,1,16720,4,1,Python,3011,0,98.2,1,8.2,active
learningequality/kolibri,https://github.com/learningequality/kolibri,1062,942,490,202,35623,153,1,2295,6,1,Python,3782,0,176.4,1,10.4,active
NVIDIA-NeMo/DataDesigner,https://github.com/NVIDIA-NeMo/DataDesigner,1929,177,49,23,471,31,1,9124,11,1,Python,225,0,20.5,1,0.6,active
newton-physics/newton,https://github.com/newton-physics/newton,4990,548,254,69,1941,3,1,40015,4,1,Python,402,0,28.1,1,1.1,active
DataDog/integrations-core,https://github.com/DataDog/integrations-core,1119,1537,356,383,20380,51,1,2865,4,1,Python,3832,0,53.2,1,10.5,active
pycurl/pycurl,https://github.com/pycurl/pycurl,1153,325,5,101,3617,0,1,8184,4,1,Python,4681,0,35.8,1,12.8,active
