full_name,url,stars,forks,open_issues,contributors,commits,releases,has_ci,readme_length,n_topics,has_license,language,age_days,days_since_push
shiyu-coder/Kronos-demo,https://github.com/shiyu-coder/Kronos-demo,111,52,8,1,7714,0,0,0,0,0,Python,322,0
cognizant-ai-lab/neuro-san,https://github.com/cognizant-ai-lab/neuro-san,113,38,102,20,4913,163,1,12210,14,1,Python,559,0
doms9/iptv,https://github.com/doms9/iptv,161,41,0,2,5918,0,1,2328,5,1,Python,371,0
hgbrian/biomodals,https://github.com/hgbrian/biomodals,158,22,0,3,194,0,0,11744,0,1,Python,914,0
watchttvv/free-proxy-list,https://github.com/watchttvv/free-proxy-list,136,38,4,2,18326,0,1,637,0,0,Python,251,0
Crypt0nly/plutus,https://github.com/Crypt0nly/plutus,65,3,2,4,877,266,1,14193,0,1,Python,97,0
vercel-labs/ai-python,https://github.com/vercel-labs/ai-python,67,7,4,5,364,0,1,4396,0,1,Python,133,0
scipy/scipy-stubs,https://github.com/scipy/scipy-stubs,90,36,27,31,4453,39,1,30279,4,1,Python,645,0
dancinlab/anima,https://github.com/dancinlab/anima,156,50,0,3,6812,3,1,22643,13,1,Python,66,0
nicolerenee/infra,https://github.com/nicolerenee/infra,108,7,16,4,3236,0,1,8077,7,0,Python,2860,0
NVIDIAGameWorks/toolkit-remix,https://github.com/NVIDIAGameWorks/toolkit-remix,56,28,0,22,940,0,1,2055,0,1,Python,696,0
rezer-bleede/dbt-Workbench,https://github.com/rezer-bleede/dbt-Workbench,59,11,0,4,260,0,1,6725,0,1,Python,169,0
paragon-intelligence/agentle,https://github.com/paragon-intelligence/agentle,53,13,0,2,1411,286,1,85647,3,1,Python,399,0
TarasKhust/ecoflow-api-mqtt,https://github.com/TarasKhust/ecoflow-api-mqtt,58,6,7,4,244,108,0,17152,8,1,Python,171,0
HJSang/CRISP_Reasoning_Compression,https://github.com/HJSang/CRISP_Reasoning_Compression,54,7,4,3,14,0,0,8724,0,0,Python,83,0
tryHivemind/Hivemind,https://github.com/tryHivemind/Hivemind,177,5,0,5,244,0,0,10366,0,1,Python,23,0
tyql688/NTEUID,https://github.com/tyql688/NTEUID,59,4,2,2,100,0,0,1284,3,1,Python,38,0
TencentBlueKing/bamboo-engine,https://github.com/TencentBlueKing/bamboo-engine,172,64,29,9,332,115,1,9150,5,1,Python,1725,0
meta-pytorch/MSLK,https://github.com/meta-pytorch/MSLK,107,48,79,34,281,0,1,3666,0,1,Python,206,0
RouteWorks/RouterArena,https://github.com/RouteWorks/RouterArena,81,23,12,15,110,0,1,13635,10,1,Python,235,0
